symbol,asset_class,date,bias,zone,current,dol,dist_pct,kz_high,kz_low,dol_hit,dir_correct
EURUSD,forex,2024-04-29,Bearish,Discount,1.07157,1.06955,0.2431,1.072961,1.06929,True,True
EURUSD,forex,2024-04-30,Bearish,Discount,1.066655,1.06577,0.6702,1.072961,1.069404,False,True
EURUSD,forex,2024-05-01,Bullish,Premium,1.072156,1.07529,0.7654,1.068719,1.067008,False,True
EURUSD,forex,2024-05-02,Bullish,Premium,1.073307,1.07529,0.4213,1.071467,1.068376,False,False
EURUSD,forex,2024-05-06,Bullish,Premium,1.076751,1.08054,0.2849,1.079331,1.077238,False,True
EURUSD,forex,2024-05-07,Bullish,Premium,1.075049,1.07529,-0.1808,1.078981,1.076658,True,True
EURUSD,forex,2024-05-08,Bullish,Premium,1.074691,1.07529,0.002,1.075732,1.074345,True,False
EURUSD,forex,2024-05-09,Bullish,Premium,1.078516,1.08054,0.6415,1.077006,1.072846,False,True
EURUSD,forex,2024-05-13,Bullish,Premium,1.079354,1.08054,0.1877,1.080964,1.0784,True,True
EURUSD,forex,2024-05-14,Bullish,Premium,1.081455,1.08862,0.7953,1.082485,1.077238,False,True
EURUSD,forex,2024-05-15,Bullish,Premium,1.088981,1.0898,0.6539,1.086838,1.082485,False,True
EURUSD,forex,2024-05-16,Bullish,Premium,1.086779,1.08862,0.0986,1.087666,1.085894,False,False
EURUSD,forex,2024-05-20,Bullish,Premium,1.086083,1.08862,0.1095,1.087429,1.085776,False,False
EURUSD,forex,2024-05-21,Bullish,Premium,1.085517,1.08862,0.1422,1.087311,1.084834,False,False
EURUSD,forex,2024-05-22,Bullish,Premium,1.08252,1.08862,0.4361,1.084363,1.082485,False,False
EURUSD,forex,2024-05-27,Bullish,Premium,1.086189,1.08862,0.1748,1.08672,1.084481,False,False
EURUSD,forex,2024-05-29,Bearish,Discount,1.080182,1.07987,0.4684,1.08613,1.083541,False,True
EURUSD,forex,2024-05-30,Bearish,Discount,1.083541,1.08061,0.13,1.083658,1.081666,False,False
EURUSD,forex,2024-06-03,Bullish,Premium,1.090739,1.09445,0.9521,1.085658,1.084128,False,True
EURUSD,forex,2024-06-04,Bullish,Premium,1.088187,1.08862,0.153,1.087429,1.086366,False,False
EURUSD,forex,2024-06-05,Bullish,Premium,1.087453,1.08862,0.1313,1.089206,1.086366,True,True
EURUSD,forex,2024-06-06,Bullish,Premium,1.089443,1.08968,0.1525,1.090156,1.086602,True,True
EURUSD,forex,2024-06-10,Bearish,Discount,1.076426,1.07254,0.1358,1.07631,1.073998,False,False
EURUSD,forex,2024-06-11,Bearish,Discount,1.074033,1.07254,0.168,1.074345,1.072386,True,True
EURUSD,forex,2024-06-12,Bearish,Discount,1.081315,1.08061,-0.4211,1.084011,1.076079,True,False
EURUSD,forex,2024-06-13,Bearish,Discount,1.073883,1.07254,0.6613,1.081666,1.0784,False,True
EURUSD,forex,2024-06-17,Bearish,Discount,1.074068,1.07254,-0.1216,1.072271,1.071008,True,False
EURUSD,forex,2024-06-18,Bearish,Discount,1.074229,1.07254,-0.0465,1.075269,1.071352,True,False
EURUSD,forex,2024-06-19,Bearish,Discount,1.075153,1.07254,0.2538,1.075616,1.07446,False,True
EURUSD,forex,2024-06-20,Bearish,Discount,1.070641,1.06955,0.3393,1.073537,1.071697,False,True
EURUSD,forex,2024-06-24,Bearish,Discount,1.073272,1.07254,0.0607,1.074576,1.072961,False,False
EURUSD,forex,2024-06-25,Bearish,Discount,1.070962,1.06955,0.2965,1.072731,1.070435,False,True
EURUSD,forex,2024-06-26,Bearish,Discount,1.068011,1.06681,0.1893,1.069747,1.066894,False,True
EURUSD,forex,2024-06-27,Bearish,Discount,1.070847,1.06955,0.104,1.072961,1.069633,False,False
EURUSD,forex,2024-07-01,Bearish,Discount,1.07371,1.07254,0.2538,1.076195,1.074345,False,False
EURUSD,forex,2024-07-02,Bearish,Discount,1.074841,1.07254,-0.0573,1.074807,1.071811,True,False
EURUSD,forex,2024-07-04,Bullish,Premium,1.081069,1.08862,0.7627,1.080497,1.079797,False,True
EURUSD,forex,2024-07-08,Bullish,Premium,1.083095,1.08862,0.5014,1.084834,1.083072,False,True
EURUSD,forex,2024-07-09,Bullish,Premium,1.081479,1.08862,0.5667,1.082837,1.081549,False,False
EURUSD,forex,2024-07-10,Bullish,Premium,1.08333,1.08862,0.5667,1.083189,1.082368,False,True
EURUSD,forex,2024-07-11,Bullish,Premium,1.087276,1.08862,0.3163,1.090156,1.084834,True,True
EURUSD,forex,2024-07-15,Bullish,Premium,1.090156,1.09182,0.0435,1.091822,1.090513,True,True
EURUSD,forex,2024-07-16,Bullish,Premium,1.090251,1.09182,0.1417,1.09075,1.087548,False,False
EURUSD,forex,2024-07-17,Bullish,Premium,1.09402,1.09445,0.0984,1.09505,1.093255,True,True
EURUSD,forex,2024-07-18,Bullish,Premium,1.090156,1.09182,-0.164,1.093853,1.091107,True,False
EURUSD,forex,2024-07-22,Bullish,Premium,1.088981,1.08968,0.0217,1.089443,1.087903,False,False
EURUSD,forex,2024-07-23,Bullish,Premium,1.085069,1.08885,0.2178,1.087193,1.084952,False,False
EURUSD,forex,2024-07-24,Bullish,Premium,1.083952,1.08885,0.392,1.086602,1.084246,False,True
EURUSD,forex,2024-07-25,Bullish,Premium,1.085128,1.08885,0.3049,1.085776,1.083424,False,False
EURUSD,forex,2024-07-31,Bullish,Premium,1.082392,1.08719,0.3259,1.085187,1.082837,False,True
EURUSD,forex,2024-08-01,Bullish,Premium,1.07876,1.08094,0.2031,1.080964,1.078749,True,True
EURUSD,forex,2024-08-05,Bullish,Premium,1.095098,1.09547,0.0164,1.100958,1.094691,True,True
EURUSD,forex,2024-08-06,Bullish,Premium,1.092622,1.09445,0.2954,1.092657,1.09075,False,True
EURUSD,forex,2024-08-07,Bullish,Premium,1.092813,1.09445,0.2078,1.092896,1.091584,False,False
EURUSD,forex,2024-08-08,Bullish,Premium,1.091572,1.09182,-0.0985,1.093613,1.088613,True,False
EURUSD,forex,2024-08-12,Bearish,Discount,1.093625,1.08823,0.4378,1.093613,1.092061,False,True
EURUSD,forex,2024-08-13,Bullish,Premium,1.099699,1.10074,0.7287,1.096491,1.092538,False,True
EURUSD,forex,2024-08-15,Bullish,Premium,1.097273,1.10074,-0.0528,1.101686,1.09541,True,False
EURUSD,forex,2024-08-28,Bullish,Premium,1.112496,1.12011,0.6531,1.113338,1.110864,False,False
EURUSD,forex,2024-08-29,Bullish,Premium,1.108045,1.12011,0.9107,1.110248,1.107665,False,False
EURUSD,forex,2024-09-02,Bullish,Premium,1.106746,1.12011,1.1907,1.10742,1.106195,False,True
EURUSD,forex,2024-09-04,Bullish,Premium,1.108045,1.12011,1.3027,1.106072,1.104362,False,True
EURUSD,forex,2024-09-09,Bearish,Discount,1.103753,1.10338,0.1,1.105461,1.103997,False,False
EURUSD,forex,2024-09-10,Bearish,Discount,1.102098,1.08823,1.4717,1.104606,1.102171,False,True
EURUSD,forex,2024-09-11,Bearish,Discount,1.101091,1.08823,1.5478,1.105705,1.100837,False,True
EURUSD,forex,2024-09-12,Bearish,Discount,1.107788,1.10338,-0.0876,1.10424,1.101564,True,False
EURUSD,forex,2024-09-16,Bullish,Premium,1.112954,1.11496,0.2237,1.113834,1.111976,False,True
EURUSD,forex,2024-09-17,Bullish,Premium,1.11231,1.11496,0.1123,1.114579,1.111482,False,False
EURUSD,forex,2024-09-18,Bullish,Premium,1.111482,1.11496,0.1457,1.11433,1.1121,False,True
EURUSD,forex,2024-09-19,Bullish,Premium,1.116196,1.12011,0.2274,1.117693,1.1121,False,False
EURUSD,forex,2024-09-24,Bullish,Premium,1.119119,1.12011,0.6419,1.114951,1.112595,False,True
EURUSD,forex,2024-09-25,Bullish,Premium,1.113102,1.11496,-0.3672,1.121579,1.118693,True,True
EURUSD,forex,2024-09-26,Bullish,Premium,1.117718,1.12011,0.3731,1.116695,1.113958,False,False
EURUSD,forex,2024-10-01,Bearish,Discount,1.10639,1.10338,0.5303,1.110248,1.106317,False,True
EURUSD,forex,2024-10-02,Bearish,Discount,1.10485,1.10338,0.3317,1.107911,1.104972,False,True
EURUSD,forex,2024-10-03,Bearish,Discount,1.103558,1.10338,0.111,1.104972,1.103266,True,True
EURUSD,forex,2024-10-07,Bearish,Discount,1.097574,1.08823,0.7861,1.09866,1.096611,False,False
EURUSD,forex,2024-10-08,Bearish,Discount,1.097574,1.08823,0.9602,1.099264,1.097454,False,True
EURUSD,forex,2024-10-09,Bearish,Discount,1.094331,1.08823,0.7861,1.096972,1.094931,False,True
EURUSD,forex,2024-10-10,Bearish,Discount,1.093386,1.08823,0.5467,1.09529,1.092657,False,True
EURUSD,forex,2024-10-14,Bearish,Discount,1.090917,1.08823,0.4052,1.092896,1.090869,False,True
EURUSD,forex,2024-10-15,Bearish,Discount,1.088412,1.08823,0.2093,1.091941,1.090156,False,False
EURUSD,forex,2024-10-16,Bearish,Discount,1.086248,1.08061,0.8,1.090275,1.08885,False,True
EURUSD,forex,2024-10-17,Bearish,Discount,1.082954,1.08061,0.5731,1.087075,1.081549,False,True
EURUSD,forex,2024-10-21,Bearish,Discount,1.081783,1.08061,0.411,1.08613,1.084716,False,False
EURUSD,forex,2024-10-22,Bearish,Discount,1.079727,1.0789,0.396,1.083189,1.080497,False,True
EURUSD,forex,2024-10-23,Bearish,Discount,1.078051,1.07783,0.0205,1.078516,1.076542,True,True
EURUSD,forex,2024-10-24,Bearish,Discount,1.082415,1.08061,-0.0429,1.081198,1.079331,True,False
EURUSD,forex,2024-10-29,Bearish,Discount,1.081677,1.08061,0.13,1.082837,1.081666,False,False
EURUSD,forex,2024-10-30,Bearish,Discount,1.082064,1.08061,0.0003,1.080731,1.077238,True,True
EURUSD,forex,2024-10-31,Bearish,Discount,1.085918,1.08061,0.3029,1.084599,1.081315,False,False
EURUSD,forex,2024-11-01,Bearish,Discount,1.088613,1.08823,-0.1172,1.089087,1.085894,True,True
EURUSD,forex,2024-11-05,Bearish,Discount,1.087406,1.0789,1.162,1.091703,1.089681,False,True
EURUSD,forex,2024-11-06,Bearish,Discount,1.093446,1.08823,0.1767,1.091346,1.089325,False,False
EURUSD,forex,2024-11-07,Bearish,Discount,1.073307,1.06681,0.424,1.072271,1.068604,False,False
EURUSD,forex,2024-11-08,Bearish,Discount,1.079517,1.0789,-0.273,1.0819,1.075963,True,False
EURUSD,forex,2024-11-19,Bearish,Discount,1.05949,1.04992,0.4466,1.057641,1.053741,False,False
EURUSD,forex,2024-11-20,Bearish,Discount,1.06076,1.04992,0.6251,1.059996,1.056301,False,False
EURUSD,forex,2024-11-21,Bearish,Discount,1.054619,1.04992,0.5516,1.056971,1.052742,False,True
