symbol,date,bias,confidence,kz_correct,ext_correct,kz_pct,ext_pct
EURUSD,2024-04-29,Bearish,8,True,True,-0.1819,-0.0107
EURUSD,2024-04-30,Bearish,8,True,True,-0.2248,-0.3954
EURUSD,2024-05-01,Bullish,4,True,True,0.1389,0.1068
EURUSD,2024-05-02,Bullish,4,False,True,-0.1604,0.0107
EURUSD,2024-05-06,Bullish,4,True,True,0.1403,0.0539
EURUSD,2024-05-07,Bullish,4,True,False,0.1078,-0.0108
EURUSD,2024-05-09,Bullish,4,True,True,0.2907,0.3448
EURUSD,2024-05-13,Bullish,4,True,True,0.2053,0.1188
EURUSD,2024-05-14,Bullish,4,True,True,0.1948,0.1839
EURUSD,2024-05-15,Bullish,4,True,True,0.1084,0.315
EURUSD,2024-05-16,Bullish,4,False,True,-0.152,0.0326
EURUSD,2024-05-20,Bullish,4,False,False,-0.0435,-0.1086
EURUSD,2024-05-21,Bullish,4,False,False,-0.1628,-0.1303
EURUSD,2024-05-27,Bullish,4,False,False,-0.0869,-0.0435
EURUSD,2024-05-29,Bearish,8,True,True,-0.0759,-0.3244
EURUSD,2024-05-30,Bearish,7,False,False,0.1192,0.1843
EURUSD,2024-06-03,Bullish,4,True,True,0.1194,0.4684
EURUSD,2024-06-05,Bullish,4,True,False,0.1524,-0.0435
EURUSD,2024-06-06,Bullish,4,True,True,0.0653,0.0435
EURUSD,2024-06-10,Bearish,8,False,False,0.0322,0.1183
EURUSD,2024-06-11,Bearish,8,True,True,-0.1609,-0.0752
EURUSD,2024-06-12,Bearish,8,False,False,0.7371,0.7918
EURUSD,2024-06-13,Bearish,8,True,True,-0.054,-0.355
EURUSD,2024-06-17,Bearish,5,False,False,0.0536,0.118
EURUSD,2024-06-18,Bearish,5,False,False,0.2687,0.2041
EURUSD,2024-06-19,Bearish,5,True,True,-0.0537,0.0
EURUSD,2024-06-20,Bearish,5,True,True,-0.0536,-0.1928
EURUSD,2024-06-24,Bearish,5,False,True,0.129,-0.0107
EURUSD,2024-06-25,Bearish,5,True,True,-0.2141,-0.1927
EURUSD,2024-06-26,Bearish,5,True,True,-0.0961,-0.0427
EURUSD,2024-06-27,Bearish,5,False,False,0.1716,0.0321
EURUSD,2024-07-01,Bearish,5,False,True,0.043,-0.2146
EURUSD,2024-07-02,Bearish,5,False,False,0.2472,0.1826
EURUSD,2024-07-04,Bullish,4,True,True,0.0108,0.0973
EURUSD,2024-07-08,Bullish,7,True,True,0.1084,0.0434
EURUSD,2024-07-10,Bullish,7,True,False,0.0217,0.0
EURUSD,2024-07-11,Bullish,7,True,True,0.3594,0.1957
EURUSD,2024-07-15,Bullish,7,True,True,0.0437,0.0109
EURUSD,2024-07-16,Bullish,7,False,False,-0.1524,-0.1415
EURUSD,2024-07-17,Bullish,7,True,True,0.0656,0.0219
EURUSD,2024-07-18,Bullish,7,False,False,-0.1965,-0.1856
EURUSD,2024-07-22,Bullish,7,False,False,-0.0979,-0.1088
EURUSD,2024-07-23,Bullish,7,False,False,-0.1194,-0.0651
EURUSD,2024-07-24,Bullish,7,True,True,0.1086,0.0869
EURUSD,2024-07-25,Bullish,7,False,True,-0.1193,0.0652
EURUSD,2024-07-31,Bullish,7,True,False,0.0868,-0.0974
EURUSD,2024-08-01,Bullish,7,True,True,0.1837,0.0432
EURUSD,2024-08-05,Bullish,7,True,True,0.2636,0.0658
EURUSD,2024-08-06,Bullish,7,True,True,0.0874,0.153
EURUSD,2024-08-07,Bullish,7,False,True,-0.0109,0.0546
EURUSD,2024-08-08,Bullish,7,False,False,-0.3159,-0.1201
EURUSD,2024-08-12,Bearish,4,True,False,-0.0109,0.0109
EURUSD,2024-08-13,Bullish,7,True,True,0.3179,0.252
EURUSD,2024-08-14,Bullish,7,True,True,0.1435,0.011
EURUSD,2024-08-15,Bullish,7,False,False,-0.3949,-0.2307
