symbol,asset_class,date,daily_bias,weekly_bias,htf_aligned,structure,premium_disc,pd_correct,has_ob,has_fvg,dol_kind,has_eql,confidence,correct
EURUSD,forex,2024-04-29,Bearish,Bearish,True,LH+LL,Discount,False,True,True,SSL,True,8,True
EURUSD,forex,2024-04-30,Bearish,Bearish,True,LH+LL,Discount,False,True,True,SSL,True,8,True
EURUSD,forex,2024-05-01,Bearish,Bearish,True,LH+LL,Premium,True,True,True,SSL,True,10,False
EURUSD,forex,2024-05-02,Bearish,Bearish,True,LH+LL,Premium,True,True,True,SSL,True,10,True
EURUSD,forex,2024-05-06,Bearish,Bearish,True,LH+LL,Premium,True,True,True,SSL,True,10,False
EURUSD,forex,2024-05-07,Bearish,Bearish,True,LH+LL,Premium,True,True,True,SSL,True,10,False
EURUSD,forex,2024-05-09,Bearish,Bearish,True,LH+LL,Premium,True,True,True,SSL,True,10,False
EURUSD,forex,2024-05-13,Bearish,Bearish,True,LH+LL,Premium,True,True,True,SSL,True,10,False
EURUSD,forex,2024-05-14,Bearish,Bearish,True,LH+LL,Premium,True,False,True,SSL,True,9,False
EURUSD,forex,2024-05-15,Bearish,Bearish,True,LH+LL,Premium,True,False,True,SSL,True,9,False
EURUSD,forex,2024-05-16,Bearish,Bearish,True,LH+LL,Premium,True,False,True,SSL,True,9,True
EURUSD,forex,2024-06-06,Bullish,Bearish,False,HH+HL,Premium,False,False,True,BSL,True,4,True
EURUSD,forex,2024-06-10,Bullish,Bearish,False,HH+HL,Discount,True,False,True,BSL,True,6,True
EURUSD,forex,2024-06-11,Bullish,Bearish,False,HH+HL,Discount,True,False,True,BSL,True,6,False
EURUSD,forex,2024-06-12,Bullish,Bearish,False,HH+HL,Discount,True,False,True,BSL,True,6,True
EURUSD,forex,2024-06-13,Bullish,Bearish,False,HH+HL,Discount,True,False,True,BSL,True,6,False
EURUSD,forex,2024-06-17,Bullish,Neutral,False,HH+HL,Discount,True,False,True,BSL,True,6,True
EURUSD,forex,2024-06-18,Bullish,Neutral,False,HH+HL,Discount,True,False,True,BSL,True,6,True
